[12:14:58] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[12:15:49] [Worker-Main-8/INFO]: Preparing spawn area: 13%
[12:15:49] [Worker-Main-8/INFO]: Preparing spawn area: 15%
[12:15:50] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:51] [Worker-Main-8/INFO]: Preparing spawn area: 17%
[12:15:51] [Worker-Main-8/INFO]: Preparing spawn area: 17%
[12:15:51] [Worker-Main-8/INFO]: Preparing spawn area: 20%
[12:15:52] [Worker-Main-8/INFO]: Preparing spawn area: 21%
[12:15:52] [Worker-Main-8/INFO]: Preparing spawn area: 23%
[12:15:53] [Worker-Main-8/INFO]: Preparing spawn area: 24%
[12:15:53] [Worker-Main-8/INFO]: Preparing spawn area: 26%
[12:15:54] [Worker-Main-8/INFO]: Preparing spawn area: 27%
[12:15:56] [Worker-Main-8/INFO]: Preparing spawn area: 28%
[12:15:56] [Worker-Main-8/INFO]: Preparing spawn area: 28%
[12:15:56] [Worker-Main-8/INFO]: Preparing spawn area: 28%
[12:15:57] [Worker-Main-8/INFO]: Preparing spawn area: 32%
[12:15:57] [Worker-Main-8/INFO]: Preparing spawn area: 32%
[12:15:57] [Worker-Main-8/INFO]: Preparing spawn area: 32%
[12:15:57] [Worker-Main-8/INFO]: Preparing spawn area: 32%
[12:15:58] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:15:58] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:15:59] [Worker-Main-8/INFO]: Preparing spawn area: 42%
[12:15:59] [Worker-Main-8/INFO]: Preparing spawn area: 43%
[12:16:00] [Worker-Main-8/INFO]: Preparing spawn area: 44%
[12:16:00] [Worker-Main-8/INFO]: Preparing spawn area: 46%
[12:16:01] [Worker-Main-8/INFO]: Preparing spawn area: 46%
[12:16:01] [Worker-Main-8/INFO]: Preparing spawn area: 48%
[12:16:02] [Worker-Main-8/INFO]: Preparing spawn area: 49%
[12:16:03] [Worker-Main-8/INFO]: Preparing spawn area: 53%
[12:16:03] [Worker-Main-8/INFO]: Preparing spawn area: 56%
[12:16:03] [Worker-Main-8/INFO]: Preparing spawn area: 57%
[12:16:05] [Worker-Main-8/INFO]: Preparing spawn area: 58%
[12:16:05] [Worker-Main-8/INFO]: Preparing spawn area: 58%
[12:16:05] [Worker-Main-8/INFO]: Preparing spawn area: 62%
[12:16:05] [Worker-Main-8/INFO]: Preparing spawn area: 65%
[12:16:06] [Worker-Main-8/INFO]: Preparing spawn area: 67%
[12:16:06] [Worker-Main-8/INFO]: Preparing spawn area: 68%
[12:16:07] [Worker-Main-8/INFO]: Preparing spawn area: 70%
[12:16:07] [Worker-Main-8/INFO]: Preparing spawn area: 71%
[12:16:08] [Worker-Main-8/INFO]: Preparing spawn area: 75%
